year,state,medInc
2013,Alabama,41381
2013,Alaska,61137
2013,Arizona,50602
2013,Arkansas,39919
2013,California,57528
2013,Colorado,63371
2013,Connecticut,67781
2013,Delaware,52219
2013,Dist. of Col.,60675
2013,Florida,47886
2013,Georgia,47439
2013,Hawaii,61408
2013,Idaho,51767
2013,Illinois,57196
2013,Indiana,50553
2013,Iowa,54855
2013,Kansas,51485
2013,Kentucky,42158
2013,Louisiana,39622
2013,Maine,50121
2013,Maryland,65262
2013,Massachusetts,62963
2013,Michigan,48801
2013,Minnesota,60907
2013,Mississippi,40850
2013,Missouri,50311
2013,Montana,44132
2013,Nebraska,53774
2013,Nevada,45369
2013,New Hampshire,71322
2013,New Jersey,61782
2013,New Mexico,42127
2013,New York,53843
2013,North Carolina,41208
2013,North Dakota,52888
2013,Ohio,46398
2013,Oklahoma,43777
2013,Oregon,56307
2013,Pennsylvania,53952
2013,Rhode Island,57812
2013,South Carolina,43749
2013,South Dakota,54453
2013,Tennessee,42499
2013,Texas,53027
2013,Utah,62967
2013,Vermont,54842
2013,Virginia,67620
2013,Washington,60106
2013,West Virginia,40241
2013,Wisconsin,55258
2013,Wyoming,55700
2013,Totals,51939
2012,Alabama,43464
2012,Alaska,63648
2012,Arizona,47044
2012,Arkansas,39018
2012,California,57020
2012,Colorado,57255
2012,Connecticut,64247
2012,Delaware,48972
2012,Dist. of Col.,65246
2012,Florida,46071
2012,Georgia,48121
2012,Hawaii,56263
2012,Idaho,47922
2012,Illinois,51738
2012,Indiana,46158
2012,Iowa,53442
2012,Kansas,50003
2012,Kentucky,41086
2012,Louisiana,39085
2012,Maine,49158
2012,Maryland,71836
2012,Massachusetts,63656
2012,Michigan,50015
2012,Minnesota,61795
2012,Mississippi,36641
2012,Missouri,49764
2012,Montana,45088
2012,Nebraska,52196
2012,Nevada,47333
2012,New Hampshire,67819
2012,New Jersey,66692
2012,New Mexico,43424
2012,New York,47680
2012,North Carolina,41553
2012,North Dakota,55766
2012,Ohio,44375
2012,Oklahoma,48407
2012,Oregon,51775
2012,Pennsylvania,51904
2012,Rhode Island,56065
2012,South Carolina,44401
2012,South Dakota,49415
2012,Tennessee,42995
2012,Texas,51926
2012,Utah,58341
2012,Vermont,55582
2012,Virginia,64632
2012,Washington,62187
2012,West Virginia,43553
2012,Wisconsin,53079
2012,Wyoming,57512
2012,Totals,51017
2011,Alabama,42590
2011,Alaska,57431
2011,Arizona,48621
2011,Arkansas,41302
2011,California,53367
2011,Colorado,58629
2011,Connecticut,65415
2011,Delaware,54660
2011,Dist. of Col.,55251
2011,Florida,45105
2011,Georgia,45973
2011,Hawaii,59047
2011,Idaho,47459
2011,Illinois,50637
2011,Indiana,44445
2011,Iowa,50219
2011,Kansas,46147
2011,Kentucky,39856
2011,Louisiana,40658
2011,Maine,49693
2011,Maryland,68876
2011,Massachusetts,63313
2011,Michigan,48879
2011,Minnesota,57820
2011,Mississippi,41090
2011,Missouri,45774
2011,Montana,40277
2011,Nebraska,55616
2011,Nevada,47043
2011,New Hampshire,65880
2011,New Jersey,62338
2011,New Mexico,41982
2011,New York,50636
2011,North Carolina,45206
2011,North Dakota,56361
2011,Ohio,44648
2011,Oklahoma,48455
2011,Oregon,51526
2011,Pennsylvania,49910
2011,Rhode Island,49033
2011,South Carolina,40084
2011,South Dakota,47223
2011,Tennessee,42279
2011,Texas,49047
2011,Utah,55493
2011,Vermont,51862
2011,Virginia,62616
2011,Washington,56850
2011,West Virginia,41821
2011,Wisconsin,52058
2011,Wyoming,54509
2011,Totals,50054
2010,Alabama,40933
2010,Alaska,57848
2010,Arizona,46896
2010,Arkansas,38587
2010,California,54283
2010,Colorado,60233
2010,Connecticut,65998
2010,Delaware,55214
2010,Dist. of Col.,56928
2010,Florida,44066
2010,Georgia,44117
2010,Hawaii,59539
2010,Idaho,47050
2010,Illinois,50728
2010,Indiana,46139
2010,Iowa,49016
2010,Kansas,46054
2010,Kentucky,41104
2010,Louisiana,39300
2010,Maine,47931
2010,Maryland,64201
2010,Massachusetts,60934
2010,Michigan,46276
2010,Minnesota,52321
2010,Mississippi,38160
2010,Missouri,45817
2010,Montana,41280
2010,Nebraska,52504
2010,Nevada,51200
2010,New Hampshire,66633
2010,New Jersey,62968
2010,New Mexico,45134
2010,New York,49781
2010,North Carolina,43830
2010,North Dakota,51006
2010,Ohio,45886
2010,Oklahoma,43103
2010,Oregon,50602
2010,Pennsylvania,48314
2010,Rhode Island,51623
2010,South Carolina,41698
2010,South Dakota,45352
2010,Tennessee,38591
2010,Texas,47266
2010,Utah,56701
2010,Vermont,55928
2010,Virginia,60367
2010,Washington,56163
2010,West Virginia,42777
2010,Wisconsin,50351
2010,Wyoming,52201
2010,Totals,49276
2009,Alabama,39980
2009,Alaska,61604
2009,Arizona,45739
2009,Arkansas,36538
2009,California,56134
2009,Colorado,55930
2009,Connecticut,64851
2009,Delaware,52114
2009,Dist. of Col.,53141
2009,Florida,45631
2009,Georgia,43340
2009,Hawaii,55649
2009,Idaho,46778
2009,Illinois,52870
2009,Indiana,44305
2009,Iowa,50721
2009,Kansas,44717
2009,Kentucky,42664
2009,Louisiana,45433
2009,Maine,47502
2009,Maryland,64186
2009,Massachusetts,59373
2009,Michigan,45994
2009,Minnesota,56090
2009,Mississippi,35078
2009,Missouri,48769
2009,Montana,40437
2009,Nebraska,49595
2009,Nevada,51434
2009,New Hampshire,64131
2009,New Jersey,64777
2009,New Mexico,43542
2009,New York,50216
2009,North Carolina,41906
2009,North Dakota,50075
2009,Ohio,45879
2009,Oklahoma,45878
2009,Oregon,49098
2009,Pennsylvania,48172
2009,Rhode Island,51634
2009,South Carolina,41101
2009,South Dakota,45826
2009,Tennessee,40517
2009,Texas,47475
2009,Utah,58491
2009,Vermont,52318
2009,Virginia,60501
2009,Washington,60392
2009,West Virginia,40490
2009,Wisconsin,51237
2009,Wyoming,52470
2009,Totals,49777
2008,Alabama,44476
2008,Alaska,63989
2008,Arizona,46914
2008,Arkansas,39586
2008,California,57014
2008,Colorado,60943
2008,Connecticut,64682
2008,Delaware,50702
2008,Dist. of Col.,55590
2008,Florida,44857
2008,Georgia,46227
2008,Hawaii,61521
2008,Idaho,47420
2008,Illinois,53254
2008,Indiana,46520
2008,Iowa,50142
2008,Kansas,47877
2008,Kentucky,41148
2008,Louisiana,39563
2008,Maine,47228
2008,Maryland,63711
2008,Massachusetts,60320
2008,Michigan,49788
2008,Minnesota,54925
2008,Mississippi,36446
2008,Missouri,46038
2008,Montana,42900
2008,Nebraska,50728
2008,Nevada,54744
2008,New Hampshire,66176
2008,New Jersey,65306
2008,New Mexico,42102
2008,New York,50461
2008,North Carolina,42930
2008,North Dakota,49631
2008,Ohio,46934
2008,Oklahoma,46111
2008,Oregon,51727
2008,Pennsylvania,51402
2008,Rhode Island,53241
2008,South Carolina,42155
2008,South Dakota,51600
2008,Tennessee,39702
2008,Texas,46490
2008,Utah,62537
2008,Vermont,50706
2008,Virginia,61985
2008,Washington,56631
2008,West Virginia,37994
2008,Wisconsin,51200
2008,Wyoming,53337
2008,Totals,50303
2007,Alabama,42212
2007,Alaska,62993
2007,Arizona,47215
2007,Arkansas,40795
2007,California,55734
2007,Colorado,61141
2007,Connecticut,64141
2007,Delaware,54589
2007,Dist. of Col.,50783
2007,Florida,45794
2007,Georgia,48641
2007,Hawaii,64022
2007,Idaho,49184
2007,Illinois,52506
2007,Indiana,47453
2007,Iowa,48908
2007,Kansas,48497
2007,Kentucky,39452
2007,Louisiana,41313
2007,Maine,47894
2007,Maryland,65630
2007,Massachusetts,58463
2007,Michigan,49370
2007,Minnesota,58058
2007,Mississippi,37279
2007,Missouri,46005
2007,Montana,43655
2007,Nebraska,49174
2007,Nevada,54058
2007,New Hampshire,67576
2007,New Jersey,60508
2007,New Mexico,44356
2007,New York,48944
2007,North Carolina,43513
2007,North Dakota,47205
2007,Ohio,49099
2007,Oklahoma,43216
2007,Oregon,50236
2007,Pennsylvania,48437
2007,Rhode Island,54210
2007,South Carolina,44213
2007,South Dakota,46418
2007,Tennessee,41195
2007,Texas,46053
2007,Utah,53529
2007,Vermont,47390
2007,Virginia,59161
2007,Washington,58080
2007,West Virginia,42091
2007,Wisconsin,51277
2007,Wyoming,48744
2007,Totals,50233
2006,Alabama,37952
2006,Alaska,56418
2006,Arizona,46657
2006,Arkansas,37057
2006,California,55319
2006,Colorado,55697
2006,Connecticut,62404
2006,Delaware,52438
2006,Dist. of Col.,48477
2006,Florida,45676
2006,Georgia,49344
2006,Hawaii,60470
2006,Idaho,46213
2006,Illinois,48671
2006,Indiana,45407
2006,Iowa,48126
2006,Kansas,45552
2006,Kentucky,39485
2006,Louisiana,36488
2006,Maine,45642
2006,Maryland,63668
2006,Massachusetts,55330
2006,Michigan,48647
2006,Minnesota,56211
2006,Mississippi,34733
2006,Missouri,44579
2006,Montana,41105
2006,Nebraska,48145
2006,Nevada,52282
2006,New Hampshire,61970
2006,New Jersey,68059
2006,New Mexico,40028
2006,New York,48222
2006,North Carolina,39797
2006,North Dakota,41047
2006,Ohio,45900
2006,Oklahoma,38838
2006,Oregon,47091
2006,Pennsylvania,48477
2006,Rhode Island,53736
2006,South Carolina,39617
2006,South Dakota,45427
2006,Tennessee,40693
2006,Texas,43307
2006,Utah,54628
2006,Vermont,51981
2006,Virginia,57119
2006,Washington,54723
2006,West Virginia,38419
2006,Wisconsin,51692
2006,Wyoming,47041
2006,Totals,48201
2005,Alabama,37150
2005,Alaska,55891
2005,Arizona,45245
2005,Arkansas,36658
2005,California,51755
2005,Colorado,50449
2005,Connecticut,56835
2005,Delaware,51235
2005,Dist. of Col.,44993
2005,Florida,42990
2005,Georgia,45926
2005,Hawaii,59586
2005,Idaho,44176
2005,Illinois,48398
2005,Indiana,42437
2005,Iowa,46500
2005,Kansas,42027
2005,Kentucky,36699
2005,Louisiana,37236
2005,Maine,43923
2005,Maryland,60512
2005,Massachusetts,56017
2005,Michigan,45933
2005,Minnesota,54215
2005,Mississippi,32875
2005,Missouri,42986
2005,Montana,37313
2005,Nebraska,47923
2005,Nevada,48209
2005,New Hampshire,56984
2005,New Jersey,63368
2005,New Mexico,38947
2005,New York,47176
2005,North Carolina,42056
2005,North Dakota,42192
2005,Ohio,44203
2005,Oklahoma,37645
2005,Oregon,44159
2005,Pennsylvania,46300
2005,Rhode Island,49484
2005,South Carolina,40230
2005,South Dakota,43151
2005,Tennessee,39406
2005,Texas,41422
2005,Utah,54813
2005,Vermont,50704
2005,Virginia,51914
2005,Washington,50646
2005,West Virginia,36445
2005,Wisconsin,44650
2005,Wyoming,44718
2005,Totals,46326
2004,Alabama,36629
2004,Alaska,55063
2004,Arizona,43846
2004,Arkansas,34984
2004,California,49222
2004,Colorado,50886
2004,Connecticut,55100
2004,Delaware,48049
2004,Dist. of Col.,43451
2004,Florida,40535
2004,Georgia,40984
2004,Hawaii,56242
2004,Idaho,44358
2004,Illinois,46077
2004,Indiana,42329
2004,Iowa,43391
2004,Kansas,41066
2004,Kentucky,35610
2004,Louisiana,36429
2004,Maine,41329
2004,Maryland,57103
2004,Massachusetts,52019
2004,Michigan,42256
2004,Minnesota,56104
2004,Mississippi,34755
2004,Missouri,42137
2004,Montana,33956
2004,Nebraska,43786
2004,Nevada,47204
2004,New Hampshire,56815
2004,New Jersey,55275
2004,New Mexico,39562
2004,New York,44649
2004,North Carolina,40238
2004,North Dakota,39220
2004,Ohio,43055
2004,Oklahoma,39614
2004,Oregon,40994
2004,Pennsylvania,44106
2004,Rhode Island,47935
2004,South Carolina,38691
2004,South Dakota,41107
2004,Tennessee,38072
2004,Texas,41397
2004,Utah,50871
2004,Vermont,47329
2004,Virginia,51141
2004,Washington,49922
2004,West Virginia,33373
2004,Wisconsin,45732
2004,Wyoming,45397
2004,Totals,44334
2003,Alabama,37255
2003,Alaska,51837
2003,Arizona,41166
2003,Arkansas,32002
2003,California,49300
2003,Colorado,49940
2003,Connecticut,54965
2003,Delaware,49019
2003,Dist. of Col.,45044
2003,Florida,38972
2003,Georgia,42438
2003,Hawaii,51834
2003,Idaho,42372
2003,Illinois,45153
2003,Indiana,42425
2003,Iowa,41384
2003,Kansas,44232
2003,Kentucky,36936
2003,Louisiana,33507
2003,Maine,37113
2003,Maryland,52314
2003,Massachusetts,50955
2003,Michigan,45022
2003,Minnesota,52823
2003,Mississippi,32728
2003,Missouri,43762
2003,Montana,34108
2003,Nebraska,43974
2003,Nevada,45184
2003,New Hampshire,55567
2003,New Jersey,56045
2003,New Mexico,35105
2003,New York,42788
2003,North Carolina,37279
2003,North Dakota,40410
2003,Ohio,43520
2003,Oklahoma,35902
2003,Oregon,41638
2003,Pennsylvania,42933
2003,Rhode Island,44711
2003,South Carolina,38479
2003,South Dakota,39522
2003,Tennessee,37523
2003,Texas,39271
2003,Utah,49275
2003,Vermont,43261
2003,Virginia,54783
2003,Washington,47508
2003,West Virginia,32763
2003,Wisconsin,46269
2003,Wyoming,42555
2003,Totals,43318
2002,Alabama,37603
2002,Alaska,52774
2002,Arizona,39734
2002,Arkansas,32387
2002,California,47437
2002,Colorado,48294
2002,Connecticut,53387
2002,Delaware,49650
2002,Dist. of Col.,39070
2002,Florida,38024
2002,Georgia,42939
2002,Hawaii,47303
2002,Idaho,37715
2002,Illinois,42710
2002,Indiana,41047
2002,Iowa,41049
2002,Kansas,42619
2002,Kentucky,36762
2002,Louisiana,34008
2002,Maine,36853
2002,Maryland,56407
2002,Massachusetts,49855
2002,Michigan,42715
2002,Minnesota,54622
2002,Mississippi,30882
2002,Missouri,42776
2002,Montana,34835
2002,Nebraska,42796
2002,Nevada,44958
2002,New Hampshire,55321
2002,New Jersey,54568
2002,New Mexico,35457
2002,New York,41966
2002,North Carolina,36515
2002,North Dakota,36200
2002,Ohio,42684
2002,Oklahoma,36458
2002,Oregon,41802
2002,Pennsylvania,42498
2002,Rhode Island,42417
2002,South Carolina,37812
2002,South Dakota,37873
2002,Tennessee,37030
2002,Texas,40149
2002,Utah,47861
2002,Vermont,42999
2002,Virginia,49631
2002,Washington,45183
2002,West Virginia,29359
2002,Wisconsin,45903
2002,Wyoming,39763
2002,Totals,42409
2001,Alabama,35160
2001,Alaska,57363
2001,Arizona,42704
2001,Arkansas,33339
2001,California,47262
2001,Colorado,49397
2001,Connecticut,53347
2001,Delaware,49602
2001,Dist. of Col.,41169
2001,Florida,36421
2001,Georgia,42576
2001,Hawaii,47439
2001,Idaho,38241
2001,Illinois,46171
2001,Indiana,40379
2001,Iowa,40976
2001,Kansas,41415
2001,Kentucky,38437
2001,Louisiana,33322
2001,Maine,36612
2001,Maryland,53530
2001,Massachusetts,52253
2001,Michigan,45047
